Timestamp,Water_Level_1 (cm),Water_Level_3 (cm)
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
811315,2240.97,1190.56
